trade_date,ts_code,OPEN,CLOSE,VOLUME
2016-11-30,000300.SH,3557.64,3538.0,178560000.0
2016-12-01,000300.SH,3543.96,3565.04,180171000.0
2016-12-02,000300.SH,3559.77,3528.95,196355000.0
2016-12-05,000300.SH,3473.69,3469.41,180852000.0
2016-12-06,000300.SH,3466.24,3459.15,115529000.0
2016-12-07,000300.SH,3458.37,3475.75,114345000.0
2016-12-08,000300.SH,3481.81,3470.14,117384000.0
2016-12-09,000300.SH,3464.87,3493.7,150303000.0
2016-12-12,000300.SH,3489.27,3409.18,187468000.0
2016-12-13,000300.SH,3394.21,3405.04,121105000.0
2016-12-14,000300.SH,3399.41,3378.95,124008000.0
2016-12-15,000300.SH,3363.86,3340.43,114961000.0
2016-12-16,000300.SH,3335.36,3346.03,90775400.0
2016-12-19,000300.SH,3342.34,3328.98,81640700.0
2016-12-20,000300.SH,3328.3,3309.06,87569600.0
2016-12-21,000300.SH,3313.75,3338.54,108255000.0
2016-12-22,000300.SH,3335.12,3335.67,92277200.0
2016-12-23,000300.SH,3333.4,3307.6,97444700.0
2016-12-26,000300.SH,3293.22,3322.4,89794000.0
2016-12-27,000300.SH,3319.21,3316.39,75486400.0
2016-12-28,000300.SH,3315.75,3301.89,69000400.0
2016-12-29,000300.SH,3297.04,3297.76,70087900.0
2016-12-30,000300.SH,3302.6,3310.08,71744100.0
2017-01-03,000300.SH,3313.95,3342.23,86567900.0
2017-01-04,000300.SH,3340.56,3368.31,90050800.0
2017-01-05,000300.SH,3368.34,3367.79,88336400.0
2017-01-06,000300.SH,3366.85,3347.67,87459100.0
2017-01-09,000300.SH,3345.75,3363.9,83707900.0
2017-01-10,000300.SH,3361.64,3358.27,83819200.0
2017-01-11,000300.SH,3355.8,3334.5,91071400.0
2017-01-12,000300.SH,3332.69,3317.62,81239100.0
2017-01-13,000300.SH,3317.96,3319.91,84180600.0
2017-01-16,000300.SH,3314.15,3319.45,157779000.0
2017-01-17,000300.SH,3305.6,3326.36,69453300.0
2017-01-18,000300.SH,3323.34,3339.37,70623200.0
2017-01-19,000300.SH,3330.95,3329.29,66159800.0
2017-01-20,000300.SH,3326.98,3354.89,65300500.0
2017-01-23,000300.SH,3359.05,3364.08,75557500.0
2017-01-24,000300.SH,3363.14,3364.45,66194200.0
2017-01-25,000300.SH,3361.66,3375.9,58376900.0
2017-01-26,000300.SH,3378.26,3387.96,65316600.0
2017-02-03,000300.SH,3390.93,3364.49,55188900.0
2017-02-06,000300.SH,3368.11,3373.21,68521400.0
2017-02-07,000300.SH,3371.77,3365.68,63754500.0
2017-02-08,000300.SH,3361.78,3383.29,75402900.0
2017-02-09,000300.SH,3381.9,3396.29,97558500.0
2017-02-10,000300.SH,3398.32,3413.49,123769000.0
2017-02-13,000300.SH,3416.92,3436.27,120145000.0
2017-02-14,000300.SH,3438.51,3435.8,94809500.0
2017-02-15,000300.SH,3435.39,3421.71,127643000.0
2017-02-16,000300.SH,3421.83,3440.93,108277000.0
2017-02-17,000300.SH,3443.62,3421.44,114600000.0
2017-02-20,000300.SH,3421.64,3471.39,132629000.0
2017-02-21,000300.SH,3475.06,3482.82,114842000.0
2017-02-22,000300.SH,3483.2,3489.76,102816000.0
2017-02-23,000300.SH,3487.57,3473.32,99536300.0
2017-02-24,000300.SH,3468.96,3473.85,95535100.0
2017-02-27,000300.SH,3471.13,3446.22,98672200.0
2017-02-28,000300.SH,3445.03,3452.81,75215300.0
2017-03-01,000300.SH,3452.21,3458.44,103260000.0
2017-03-02,000300.SH,3463.48,3435.1,89898100.0
2017-03-03,000300.SH,3424.66,3427.86,80994700.0
2017-03-06,000300.SH,3427.25,3446.48,83070900.0
2017-03-07,000300.SH,3446.16,3453.96,80334700.0
2017-03-08,000300.SH,3452.2,3448.73,79587700.0
2017-03-09,000300.SH,3442.9,3426.94,84570400.0
2017-03-10,000300.SH,3423.98,3427.89,70016200.0
2017-03-13,000300.SH,3425.67,3458.1,91684100.0
2017-03-14,000300.SH,3456.66,3456.69,77078000.0
2017-03-15,000300.SH,3452.21,3463.64,79105000.0
2017-03-16,000300.SH,3472.27,3481.51,106334000.0
2017-03-17,000300.SH,3485.31,3445.81,103756000.0
2017-03-20,000300.SH,3449.05,3449.61,88734300.0
2017-03-21,000300.SH,3449.77,3466.35,87707900.0
